fips,state,county,senior_share,living_alone_65_share,disability_share,median_income,diabetes_prev,chd_prev,copd_prev,poor_physical_health_prev,healthcare_support_per_1k_seniors,healthcare_support_wage
06069,CA,San Benito County,0.13722692822113242,0.8887163561076604,0.10505275672462476,114394.0,11.3,5.3,4.7,13.8,106.1295213341997,39650
06071,CA,San Bernardino County,0.1260677692089223,0.904994850669413,0.11997565886730897,85478.0,12.1,5.6,5.2,14.4,144.05525228894086,39650
06073,CA,San Diego County,0.1543839740888246,0.8959471041998286,0.10732145170206284,106268.0,10.0,5.2,4.7,11.9,105.51784989778112,39650
06075,CA,San Francisco County,0.17646810842713206,0.9174885014440047,0.1185483628129385,140970.0,10.2,4.9,3.9,10.4,94.33485768889494,39650
06077,CA,San Joaquin County,0.13511276328364275,0.9105476673427992,0.12486235379401857,92179.0,12.3,5.7,5.5,14.1,124.67279309384573,39650
06079,CA,San Luis Obispo County,0.2214061195858713,0.898992873549679,0.13029781037452717,97446.0,10.0,6.4,5.8,13.0,51.81430267252719,39650
06081,CA,San Mateo County,0.17814209122504512,0.8862376639178046,0.09343831667430019,158855.0,10.6,5.2,4.0,10.9,89.57063565281832,39650
06083,CA,Santa Barbara County,0.16612538623983267,0.906350541998713,0.11117622002204187,98161.0,10.8,6.0,5.6,13.8,106.1050061050061,39650
06085,CA,Santa Clara County,0.1482665780603739,0.9007062947878538,0.0894199775294722,164281.0,10.5,4.5,3.5,10.1,110.41097833410163,39650
06087,CA,Santa Cruz County,0.18976997350203453,0.8451433121019108,0.11469617931044895,111093.0,10.2,5.9,5.4,13.0,90.46245648930879,39650
06089,CA,Shasta County,0.21500143301219163,0.9056329600820583,0.1794076148063229,72636.0,11.7,7.3,7.6,15.0,106.97531338921787,39650
06091,CA,Sierra County,0.3506919155134741,0.9869706840390879,0.15695557174071376,63355.0,15.3,10.3,10.2,17.5,0.0,39650
06093,CA,Siskiyou County,0.27840150922560164,0.8723462166575939,0.17215754842865688,59095.0,13.9,9.2,9.1,16.6,55.03677382034543,39650
06095,CA,Solano County,0.17423072327280612,0.8979934867107889,0.13093083258467245,100401.0,12.1,5.8,5.3,13.2,121.84713861159796,39650
06097,CA,Sonoma County,0.215217301665842,0.8888716388250637,0.12501443179943922,104674.0,10.7,6.4,5.8,13.1,95.7284771383958,39650
06099,CA,Stanislaus County,0.13767577032076392,0.8994943109987358,0.12576761313381107,81468.0,11.9,6.1,6.1,15.5,120.9371845131177,39650
06101,CA,Sutter County,0.16403491912560567,0.8887437973361191,0.14831524323012027,79704.0,12.8,6.8,6.8,15.3,104.34139121854959,39650
06103,CA,Tehama County,0.20079181180658923,0.8831241283124128,0.17900164193533538,63784.0,13.0,8.1,8.4,16.6,104.54719144058082,39650
06105,CA,Trinity County,0.30233291298865067,0.8943661971830986,0.1719419924337957,53002.0,15.9,11.0,11.3,18.3,87.59124087591242,39650
06107,CA,Tulare County,0.11928522038132999,0.9208454206382097,0.12402521031224606,71300.0,13.1,6.2,6.1,16.4,151.95880982819915,39650
06109,CA,Tuolumne County,0.28145987008697565,0.8907216494845361,0.20235604976329408,77404.0,12.1,8.0,7.6,14.8,72.82091401003976,39650
06111,CA,Ventura County,0.17408763787077491,0.8941824756766065,0.11601623463077439,109797.0,11.4,5.8,5.2,13.2,100.20371348418648,39650
06113,CA,Yolo County,0.1347092000507789,0.9360804269579248,0.11369035744727155,91752.0,9.3,4.9,4.7,12.2,130.08212170166937,39650
06115,CA,Yuba County,0.13087673210503273,0.8618440557367328,0.16132391399529034,76373.0,11.3,6.0,6.5,15.0,168.71609403254973,39650
